Season,Category,Circuit,Rider,Country,Constructor
2013,Moto3,Circuit Of The Americas,Alex Rins,SPAIN,KTM
2013,MotoGP,Losail International Circuit,Jorge Lorenzo,SPAIN,Yamaha
2013,Moto2,Losail International Circuit,Pol Espargaro,SPAIN,Kalex
2013,Moto3,Losail International Circuit,Luis Salom,SPAIN,KTM
2012,MotoGP,Circuit Ricardo Tormo,Dani Pedrosa,SPAIN,Honda
2012,Moto2,Circuit Ricardo Tormo,Marc Marquez,SPAIN,Suter
2012,Moto3,Circuit Ricardo Tormo,Danny Kent,GREAT BRITAIN,KTM
2012,MotoGP,Phillip Island,Casey Stoner,AUSTRALIA,Honda
2012,Moto2,Phillip Island,Pol Espargaro,SPAIN,Kalex
2012,Moto3,Phillip Island,Sandro Cortese,GERMANY,KTM
2012,MotoGP,Sepang International Circuit,Dani Pedrosa,SPAIN,Honda
2012,Moto2,Sepang International Circuit,Alex De Angelis,SAN MARINO,FTR
2012,Moto3,Sepang International Circuit,Sandro Cortese,GERMANY,KTM
2012,MotoGP,Twin Ring Motegi,Dani Pedrosa,SPAIN,Honda
2012,Moto2,Twin Ring Motegi,Marc Marquez,SPAIN,Suter
2012,Moto3,Twin Ring Motegi,Danny Kent,GREAT BRITAIN,KTM
2012,MotoGP,MotorLand Aragón,Dani Pedrosa,SPAIN,Honda
2012,Moto2,MotorLand Aragón,Pol Espargaro,SPAIN,Kalex
2012,Moto3,MotorLand Aragón,Luis Salom,SPAIN,Kalex KTM
2012,MotoGP,Misano World Circuit Marco Simoncelli,Jorge Lorenzo,SPAIN,Yamaha
2012,Moto2,Misano World Circuit Marco Simoncelli,Marc Marquez,SPAIN,Suter
2012,Moto3,Misano World Circuit Marco Simoncelli,Sandro Cortese,GERMANY,KTM
2012,MotoGP,Automotodrom Brno,Dani Pedrosa,SPAIN,Honda
2012,Moto2,Automotodrom Brno,Marc Marquez,SPAIN,Suter
2012,Moto3,Automotodrom Brno,Jonas Folger,GERMANY,Kalex KTM
2012,MotoGP,Indianapolis Motor Speedway,Dani Pedrosa,SPAIN,Honda
2012,Moto2,Indianapolis Motor Speedway,Marc Marquez,SPAIN,Suter
2012,Moto3,Indianapolis Motor Speedway,Luis Salom,SPAIN,Kalex KTM
2012,MotoGP,Mazda Raceway,Casey Stoner,AUSTRALIA,Honda
2012,MotoGP,Autodromo Internazionale del Mugello,Jorge Lorenzo,SPAIN,Yamaha
2012,Moto2,Autodromo Internazionale del Mugello,Andrea Iannone,ITALY,Speed Up
2012,Moto3,Autodromo Internazionale del Mugello,Maverick Viñales,SPAIN,FTR Honda
2012,MotoGP,Sachsenring,Dani Pedrosa,SPAIN,Honda
2012,Moto2,Sachsenring,Marc Marquez,SPAIN,Suter
2012,Moto3,Sachsenring,Sandro Cortese,GERMANY,KTM
2012,MotoGP,TT Circuit Assen,Casey Stoner,AUSTRALIA,Honda
2012,Moto2,TT Circuit Assen,Marc Marquez,SPAIN,Suter
2012,Moto3,TT Circuit Assen,Maverick Viñales,SPAIN,FTR Honda
2012,MotoGP,Silverstone Circuit,Jorge Lorenzo,SPAIN,Yamaha
2012,Moto2,Silverstone Circuit,Pol Espargaro,SPAIN,Kalex
