Season,Category,Rider,Country,Constructor
1962,500cc,Mike Hailwood,GREAT BRITAIN,MV Agusta
1961,125cc,Tom Phillis,AUSTRALIA,Honda
1961,350cc,Gary Hocking,RHODESIA,MV Agusta
1961,250cc,Mike Hailwood,GREAT BRITAIN,Honda
1961,500cc,Gary Hocking,RHODESIA,MV Agusta
1960,125cc,Carlo Ubbiali,ITALY,MV Agusta
1960,350cc,John Surtees,GREAT BRITAIN,MV Agusta
1960,250cc,Carlo Ubbiali,ITALY,MV Agusta
1960,500cc,John Surtees,GREAT BRITAIN,MV Agusta
1959,125cc,Carlo Ubbiali,ITALY,MV Agusta
1959,350cc,John Surtees,GREAT BRITAIN,MV Agusta
1959,250cc,Carlo Ubbiali,ITALY,MV Agusta
1959,500cc,John Surtees,GREAT BRITAIN,MV Agusta
1958,125cc,Carlo Ubbiali,ITALY,MV Agusta
1958,350cc,John Surtees,GREAT BRITAIN,MV Agusta
1958,250cc,Tarquinio Provini,ITALY,MV Agusta
1958,500cc,John Surtees,GREAT BRITAIN,MV Agusta
1957,125cc,Tarquinio Provini,ITALY,Mondial
1957,350cc,Keith Campbell,AUSTRALIA,Moto Guzzi
1957,250cc,Cecyl Sandford,GREAT BRITAIN,Mondial
1957,500cc,Libero Liberati,ITALY,Gilera
1956,125cc,Carlo Ubbiali,ITALY,MV Agusta
1956,350cc,Bill Lomas,GREAT BRITAIN,Moto Guzzi
1956,250cc,Carlo Ubbiali,ITALY,MV Agusta
1956,500cc,John Surtees,GREAT BRITAIN,MV Agusta
1955,125cc,Carlo Ubbiali,ITALY,MV Agusta
1955,350cc,Bill Lomas,GREAT BRITAIN,Moto Guzzi
1955,250cc,Hermann Paul Müller,GERMANY,NSU
1955,500cc,Geoff Duke,GREAT BRITAIN,Gilera
1954,125cc,Rupert Hollaus,AUSTRIA,NSU
1954,350cc,Fergus Anderson,GREAT BRITAIN,Moto Guzzi
1954,250cc,Werner Haas,GERMANY,NSU
1954,500cc,Geoff Duke,GREAT BRITAIN,Gilera
1953,125cc,Werner Haas,GERMANY,NSU
1953,350cc,Fergus Anderson,GREAT BRITAIN,Moto Guzzi
1953,250cc,Werner Haas,GERMANY,NSU
1953,500cc,Geoff Duke,GREAT BRITAIN,Gilera
1952,125cc,Cecyl Sandford,GREAT BRITAIN,MV Agusta
1952,350cc,Geoff Duke,GREAT BRITAIN,Norton
1952,250cc,Enrico Lorenzetti,ITALY,Moto Guzzi
1952,500cc,Umberto Masetti,ITALY,Gilera
1951,125cc,Carlo Ubbiali,ITALY,Mondial
1951,350cc,Geoff Duke,GREAT BRITAIN,Norton
1951,250cc,Bruno Ruffo,ITALY,Moto Guzzi
1951,500cc,Geoff Duke,GREAT BRITAIN,Norton
1950,125cc,Bruno Ruffo,ITALY,Mondial
1950,350cc,Bob Foster,GREAT BRITAIN,Velocette
1950,250cc,Dario Ambrosini,ITALY,Benelli
1950,500cc,Umberto Masetti,ITALY,Gilera
1949,125cc,Nello Pagani,ITALY,Mondial
1949,350cc,Freddie Frith,GREAT BRITAIN,Velocette
1949,250cc,Bruno Ruffo,ITALY,Moto Guzzi
1949,500cc,Leslie Graham,GREAT BRITAIN,AJS
